CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     310.5     10.52
-88.5     311.5     10.52
-88.5     312.5     10.52
-88.5     313.5     10.52
-88.5     314.5     10.52
-88.5     315.5     10.52
-88.5     316.5     10.5
-88.5     317.5     10.5
-88.5     318.5     10.5
-88.5     319.5     10.5
-88.5     320.5     10.5
-88.5     321.5     10.5
-88.5     322.5     10.5
-88.5     323.5     10.5
-88.5     324.5     10.48
-88.5     325.5     10.48
-88.5     326.5     10.48
-88.5     327.5     10.48
-88.5     328.5     10.48
-88.5     329.5     10.48
-88.5     330.5     10.48
-88.5     331.5     10.48
-88.5     332.5     10.45
-88.5     333.5     10.45
-88.5     334.5     10.45
-88.5     335.5     10.45
-88.5     336.5     10.45
-88.5     337.5     10.45
-88.5     338.5     10.45
-88.5     339.5     10.45
-88.5     340.5     10.43
-88.5     341.5     10.43
-88.5     342.5     10.43
-88.5     343.5     10.43
-88.5     344.5     10.43
-88.5     345.5     10.43
-88.5     346.5     10.43
-88.5     347.5     10.43
-88.5     348.5     10.4
-88.5     349.5     10.4
-88.5     350.5     10.4
-88.5     351.5     10.4
-88.5     352.5     10.4
-88.5     353.5     10.4
-88.5     354.5     10.4
-88.5     355.5     10.4
-88.5     356.5     10.37
-88.5     357.5     10.37
-88.5     358.5     10.37
-88.5     359.5     10.37
-87.5     0.5     12.39
-87.5     1.5     12.39
-87.5     2.5     12.39
-87.5     3.5     12.39
-87.5     4.5     12.35
-87.5     5.5     12.35
-87.5     6.5     12.35
-87.5     7.5     12.35
-87.5     8.5     12.35
-87.5     9.5     12.35
-87.5     10.5     12.35
-87.5     11.5     12.35
-87.5     12.5     12.3
-87.5     13.5     12.3
-87.5     14.5     12.3
-87.5     15.5     12.3
-87.5     16.5     12.3
-87.5     17.5     12.3
-87.5     18.5     12.3
-87.5     19.5     12.3
-87.5     20.5     12.26
-87.5     21.5     12.26
-87.5     22.5     12.26
-87.5     23.5     12.26
-87.5     24.5     12.26
-87.5     25.5     12.26
-87.5     26.5     12.26
-87.5     27.5     12.26
-87.5     28.5     12.22
-87.5     29.5     12.22
-87.5     30.5     12.22
-87.5     31.5     12.22
-87.5     32.5     12.22
-87.5     33.5     12.22
-87.5     34.5     12.22
-87.5     35.5     12.22
-87.5     36.5     12.19
-87.5     37.5     12.19
-87.5     38.5     12.19
-87.5     39.5     12.19
-87.5     40.5     12.19
-87.5     41.5     12.19
-87.5     42.5     12.19
-87.5     43.5     12.19
-87.5     44.5     12.16
-87.5     45.5     12.16
-87.5     46.5     12.16
-87.5     47.5     12.16
-87.5     48.5     12.16
-87.5     49.5     12.16
-87.5     50.5     12.16
-87.5     51.5     12.16
-87.5     52.5     12.13
-87.5     53.5     12.13
-87.5     54.5     12.13
-87.5     55.5     12.13
-87.5     56.5     12.13
-87.5     57.5     12.13
-87.5     58.5     12.13
-87.5     59.5     12.13
-87.5     60.5     12.1
-87.5     61.5     12.1
-87.5     62.5     12.1
-87.5     63.5     12.1
-87.5     64.5     12.1
-87.5     65.5     12.1
-87.5     66.5     12.1
-87.5     67.5     12.1
-87.5     68.5     12.09
-87.5     69.5     12.09
-87.5     70.5     12.09
-87.5     71.5     12.09
-87.5     72.5     12.09
-87.5     73.5     12.09
-87.5     74.5     12.09
-87.5     75.5     12.09
-87.5     76.5     12.08
-87.5     77.5     12.08
-87.5     78.5     12.08
-87.5     79.5     12.08
-87.5     80.5     12.08
-87.5     81.5     12.08
-87.5     82.5     12.08
-87.5     83.5     12.08
-87.5     84.5     12.07
-87.5     85.5     12.07
-87.5     86.5     12.07
-87.5     87.5     12.07
-87.5     88.5     12.07
-87.5     89.5     12.07
-87.5     90.5     12.07
-87.5     91.5     12.07
-87.5     92.5     12.07
-87.5     93.5     12.07
-87.5     94.5     12.07
-87.5     95.5     12.07
-87.5     96.5     12.07
-87.5     97.5     12.07
-87.5     98.5     12.07
-87.5     99.5     12.07
-87.5     100.5     12.08
-87.5     101.5     12.08
-87.5     102.5     12.08
-87.5     103.5     12.08
-87.5     104.5     12.08
-87.5     105.5     12.08
-87.5     106.5     12.08
-87.5     107.5     12.08
-87.5     108.5     12.09
-87.5     109.5     12.09
-87.5     110.5     12.09
-87.5     111.5     12.09
-87.5     112.5     12.09
-87.5     113.5     12.09
-87.5     114.5     12.09
-87.5     115.5     12.09
-87.5     116.5     12.11
-87.5     117.5     12.11
-87.5     118.5     12.11
-87.5     119.5     12.11
-87.5     120.5     12.11
-87.5     121.5     12.11
-87.5     122.5     12.11
-87.5     123.5     12.11
-87.5     124.5     12.14
-87.5     125.5     12.14
-87.5     126.5     12.14
-87.5     127.5     12.14
-87.5     128.5     12.14
-87.5     129.5     12.14
-87.5     130.5     12.14
-87.5     131.5     12.14
-87.5     132.5     12.16
-87.5     133.5     12.16
-87.5     134.5     12.16
-87.5     135.5     12.16
-87.5     136.5     12.16
-87.5     137.5     12.16
-87.5     138.5     12.16
-87.5     139.5     12.16
-87.5     140.5     12.2
-87.5     141.5     12.2
-87.5     142.5     12.2
-87.5     143.5     12.2
